customerID,tenure,Contract,MonthlyCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,Churn
5760-IFJOZ,3,Month-to-month,107.95,"Fiber optic","Mailed check",No,No,Yes,No
2027-FECZV,12,Month-to-month,106.7,"Fiber optic","Electronic check",No,No,Yes,Yes
1400-MMYXY,3,Month-to-month,105.9,"Fiber optic","Electronic check",No,No,Yes,Yes
3389-YGYAI,8,Month-to-month,105.5,"Fiber optic","Electronic check",No,No,Yes,Yes
5052-PNLOS,3,Month-to-month,105.35,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
6734-GMPVK,5,Month-to-month,105.3,"Fiber optic","Electronic check",No,No,Yes,No
7145-FEJWU,12,Month-to-month,105.3,"Fiber optic","Electronic check",No,No,Yes,No
4587-VVTOX,6,Month-to-month,105.3,"Fiber optic","Electronic check",No,No,Yes,Yes
6496-SLWHQ,3,Month-to-month,105,"Fiber optic","Electronic check",No,No,Yes,Yes
5923-GXUOC,10,Month-to-month,104.4,"Fiber optic","Electronic check",No,Yes,Yes,Yes
2369-UAPKZ,5,Month-to-month,104.1,"Fiber optic","Mailed check",No,No,Yes,Yes
9547-ITEFG,9,Month-to-month,102.6,"Fiber optic","Credit card (automatic)",No,No,Yes,No
7181-BQYBV,1,Month-to-month,102.45,"Fiber optic","Electronic check",No,Yes,Yes,Yes
1465-VINDH,10,Month-to-month,102.1,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
6688-UZPWD,11,Month-to-month,102,"Fiber optic","Electronic check",No,No,No,Yes
8884-ADFVN,7,Month-to-month,101.95,"Fiber optic","Electronic check",No,No,Yes,Yes
0702-PGIBZ,4,Month-to-month,101.7,"Fiber optic","Electronic check",No,No,No,Yes
5299-SJCZT,3,Month-to-month,101.55,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
5419-JPRRN,1,Month-to-month,101.45,"Fiber optic","Electronic check",No,No,Yes,Yes
3902-FOIGH,12,Month-to-month,101.35,"Fiber optic","Electronic check",No,No,No,Yes
7234-FECYN,8,Month-to-month,101.35,"Fiber optic","Electronic check",No,No,Yes,Yes
0880-TKATG,4,Month-to-month,101.15,"Fiber optic","Electronic check",No,No,Yes,Yes
0302-JOIVN,8,Month-to-month,101.15,"Fiber optic","Electronic check",No,No,Yes,Yes
6023-YEBUP,3,Month-to-month,100.95,"Fiber optic","Electronic check",No,No,Yes,Yes
6326-MTTXK,8,Month-to-month,100.85,"Fiber optic","Electronic check",No,No,No,Yes
7216-EWTRS,1,Month-to-month,100.8,"Fiber optic","Electronic check",No,No,Yes,Yes
4078-SAYYN,11,Month-to-month,100.75,"Fiber optic","Electronic check",No,No,Yes,Yes
4822-RVYBB,8,Month-to-month,100.6,"Fiber optic","Electronic check",No,No,Yes,Yes
2968-SSGAA,10,Month-to-month,100.6,"Fiber optic","Electronic check",No,No,Yes,Yes
0781-LKXBR,9,Month-to-month,100.5,"Fiber optic","Electronic check",No,No,Yes,Yes
9681-OXGVC,5,Month-to-month,100.5,"Fiber optic","Electronic check",No,No,Yes,Yes
5299-RULOA,10,Month-to-month,100.25,"Fiber optic","Electronic check",No,Yes,No,Yes
3178-FESZO,1,Month-to-month,100.25,"Fiber optic","Credit card (automatic)",No,No,No,Yes
2656-TABEH,4,Month-to-month,100.2,"Fiber optic","Electronic check",No,No,No,Yes
7379-FNIUJ,2,Month-to-month,100.2,"Fiber optic","Electronic check",No,Yes,No,No
2612-RANWT,12,Month-to-month,100.15,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
3811-VBYBZ,7,Month-to-month,99.8,"Fiber optic","Electronic check",No,No,No,Yes
