customerID,Contract,tenure,TenureGroup,MonthlyCharges,MonthlyChargesGroup,InternetService,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,Churn
2027-FECZV,Month-to-month,12,"0-12 months",106.7,High,"Fiber optic","Electronic check",No,No,Yes,Yes
1400-MMYXY,Month-to-month,3,"0-12 months",105.9,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3389-YGYAI,Month-to-month,8,"0-12 months",105.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5052-PNLOS,Month-to-month,3,"0-12 months",105.35,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
4587-VVTOX,Month-to-month,6,"0-12 months",105.3,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6496-SLWHQ,Month-to-month,3,"0-12 months",105,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5923-GXUOC,Month-to-month,10,"0-12 months",104.4,High,"Fiber optic","Electronic check",No,Yes,Yes,Yes
2369-UAPKZ,Month-to-month,5,"0-12 months",104.1,High,"Fiber optic","Mailed check",No,No,Yes,Yes
7181-BQYBV,Month-to-month,1,"0-12 months",102.45,High,"Fiber optic","Electronic check",No,Yes,Yes,Yes
1465-VINDH,Month-to-month,10,"0-12 months",102.1,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
6688-UZPWD,Month-to-month,11,"0-12 months",102,High,"Fiber optic","Electronic check",No,No,No,Yes
8884-ADFVN,Month-to-month,7,"0-12 months",101.95,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0702-PGIBZ,Month-to-month,4,"0-12 months",101.7,High,"Fiber optic","Electronic check",No,No,No,Yes
5299-SJCZT,Month-to-month,3,"0-12 months",101.55,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
5419-JPRRN,Month-to-month,1,"0-12 months",101.45,High,"Fiber optic","Electronic check",No,No,Yes,Yes
3902-FOIGH,Month-to-month,12,"0-12 months",101.35,High,"Fiber optic","Electronic check",No,No,No,Yes
7234-FECYN,Month-to-month,8,"0-12 months",101.35,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0880-TKATG,Month-to-month,4,"0-12 months",101.15,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0302-JOIVN,Month-to-month,8,"0-12 months",101.15,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6023-YEBUP,Month-to-month,3,"0-12 months",100.95,High,"Fiber optic","Electronic check",No,No,Yes,Yes
6326-MTTXK,Month-to-month,8,"0-12 months",100.85,High,"Fiber optic","Electronic check",No,No,No,Yes
7216-EWTRS,Month-to-month,1,"0-12 months",100.8,High,"Fiber optic","Electronic check",No,No,Yes,Yes
4078-SAYYN,Month-to-month,11,"0-12 months",100.75,High,"Fiber optic","Electronic check",No,No,Yes,Yes
4822-RVYBB,Month-to-month,8,"0-12 months",100.6,High,"Fiber optic","Electronic check",No,No,Yes,Yes
2968-SSGAA,Month-to-month,10,"0-12 months",100.6,High,"Fiber optic","Electronic check",No,No,Yes,Yes
0781-LKXBR,Month-to-month,9,"0-12 months",100.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
9681-OXGVC,Month-to-month,5,"0-12 months",100.5,High,"Fiber optic","Electronic check",No,No,Yes,Yes
5299-RULOA,Month-to-month,10,"0-12 months",100.25,High,"Fiber optic","Electronic check",No,Yes,No,Yes
3178-FESZO,Month-to-month,1,"0-12 months",100.25,High,"Fiber optic","Credit card (automatic)",No,No,No,Yes
2656-TABEH,Month-to-month,4,"0-12 months",100.2,High,"Fiber optic","Electronic check",No,No,No,Yes
2612-RANWT,Month-to-month,12,"0-12 months",100.15,High,"Fiber optic","Bank transfer (automatic)",No,No,Yes,Yes
3811-VBYBZ,Month-to-month,7,"0-12 months",99.8,High,"Fiber optic","Electronic check",No,No,No,Yes
5419-CONWX,Month-to-month,4,"0-12 months",99.8,High,"Fiber optic","Credit card (automatic)",No,No,Yes,Yes
